33752;Hrubá Voda
33754;Kravaře ve Slezsku
33755;Zlín střed
33762;Hrubá Voda zastávka
33764;Kravaře-Kouty
33765;Zlín-Louky
33772;Velká Kraš
33774;Malé Hoštice
33775;Zlín-Podvesná
33782;Kobylá nad Vidnavkou
33784;Velké Hoštice
33785;Zlín-Prštné
33794;Dolní Benešov - Zábřeh
33795;Zlín-Příluky
33805;Grešlové Mýto
33812;Hustopeče nad Bečvou
33815;Blížkovice
33822;Milotice nad Bečvou
33825;Hodonice
33832;Špičky
33835;Dyje
33842;Jablůnka
33845;Hodonín
33852;Bystřička
33855;Holešov
33862;Javorník ve Sl.
33865;Dobrotice
33872;Bernartice u Javorníka
33882;Horní Heřmanice
33885;Holubice
33892;Jeseník
33895;Hradčovice
33902;Jindřichov na Moravě
33904;Krnov
33912;Nové Losiny
33914;Krnov-Cvilín
33915;Hrušky zastávka
33925;Hrušovany nad Jevišovkou-Šanov
33934;Kunčice pod Ondřejníkem
33942;Loučná n.Des.-Fil. z
33944;Kroměříž-Oskol
33952;Kouty nad Desnou
33955;Hrušovany u Brna
33962;Loučná nad Desnou
33965;Vojkovice nad Svratkou
33972;Loučná n.Des.-R. nz
33974;Lískovec u Frýdku
33975;Žabčice
33982;Libina
33984;Louky nad Olší
33985;Hulín
33992;Hrabišín
33995;Břest
34005;Třebětice
34014;Opava zastávka
34015;Hustopeče u Brna
34024;Slavkov u Opavy
34025;Huštěnovice
34034;Město Albrechtice
34037;Chornice
34042;Lipník nad Bečvou
34044;Krásné Loučky
34047;Mezihoří
34052;Lipová Lázně
34054;Linhartovy
34057;Nectava
34062;Lipová Lázně jeskyně
34064;Mladecko
34067;Šubířov
34072;Lipová Lázně zastávka
34074;Dolní Životice
34075;Brno-Chrlice
34082;Litovel
34084;Litultovice
34092;Litovel předměstí
34094;Štáblovice
34102;Cholina
34104;Mosty u Jablunkova
34105;Chropyně
34112;Chudobín
34114;Mosty u Jablunkova zastávka
34115;Věžky
34122;Litovel město
34124;Bohumín
34125;Ivančice
34132;Mladeč
34134;Dolní Lutyně
34135;Ivančice město
34142;Mladeč jeskyně
34144;Nový Jičín město
34145;Ivanovice na Hané
34152;Myslechovice
34154;Šenov u Nového Jičína
34155;Hoštice-Heroltice
34162;Lukavice na Moravě
34164;Odry
34165;Jaroměřice nad Rokytnou
34166;Bohušice
34170;Odry-Loučky
34174;Heřmánky
34175;Šebkovice
34184;Jakubčovice nad Odrou
34185;Jemnice
34194;Opava východ
34195;Jihlava-Bosch Diesel
34204;Opava-Komárov
34205;Jihlava-Staré Hory
34214;Kylešovice
34215;Jihlava
34224;Otice
34232;Mikulovice
34234;Opava západ
34242;Ondřejovice
34252;Milotice nad Opavou
34254;Vávrovice
34262;Kunov
34272;Nové Heřminovy z
34275;Kobylí na Moravě
34282;Mohelnice
34285;Brumovice
34292;Moravičany
34294;Osoblaha
34295;Kojetice na Moravě
34302;Moravský Beroun
34304;Amalín
34306;Kojetín
34312;Náměšť na Hané
34314;Bohušov
34316;Lobodice
34324;Horní Povelice
34325;Červenka zastávka
34326;Měrovice nad Hanou
34334;Koberno
34345;Šlapanice zastávka
34346;Uhřičice obec
34352;Nový Malín
34354;Slezské Rudoltice
34362;Olomouc hl. n.
34364;Ostrava hl. n.
34372;Olomouc město
34374;Ostrava-Kunčičky
34382;Olomouc-Hejčín
34384;Ostrava-Mariánské Hory
34385;Kostelec na Hané
34392;Olomouc-Řepčín
34393;Ostrava-Stodolní
34394;Ostrava střed
34395;Lutotín
34402;Olomouc-Nová Ulice
34405;Zdětín u Prostějova
34412;Olomouc-Smetanovy sady
34414;Ostrava-Kunčice
34424;Ostrava-Bartovice
34434;Ostrava-Svinov
34444;Ostrava-Třebovice
34454;Polanka nad Odrou
34455;Krahulov
34464;Ostravice
34465;Kralice nad Oslavou
34472;Ostružná
34475;Kroměříž
34482;Ramzová
34485;Bezměrov
34494;Ostravice zastávka
34495;Jarohněvice
34505;Kotojedy
34512;Rapotín zastávka z
34514;Paskov
34515;Postoupky
34522;Petrov nad Desnou
34524;Petrovice u Karviné
34532;Rapotín z
34534;Závada
34535;Šelešovice
34542;Velké Losiny
34544;Polom
34545;Křenovice hor.n.
34552;Velké Losiny zast. z
34553;Velké Losiny zámek
34554;Bělotín
34555;Hostěrádky-Rešov
34562;Písečná
34565;Zbýšov
34567;Troubelice střed
34572;Česká Ves
34574;Příbor
34575;Křižanov
34582;Hradec-Nová Ves
34584;Ropice
34585;Ořechov
34592;Česká Ves bazén
34594;Ropice-Zálesí (Ropica-Zalesie)
34595;Kunovice
34603;Mošnov, Ostrava Airport
34605;Kunovice zastávka
34608;Sedlnice
34614;Skotnice
34615;Popovice u Uherského Hradiště
34625;Vésky
34636;Kunovice-Loučka
34642;Osek nad Bečvou
34646;Podhradní Lhota
34652;Prosenice
34655;Kuřim
34662;Přerov
34664;Skrochovice
34665;Česká
34672;Horní Moštěnice
34674;Holasovice
34675;Kyjov
34684;Úvalno
34685;Kyjov zastávka
34694;Studénka
34702;Příkazy
34705;Lednice
34712;Skrbeň
34715;Lednice rybníky
34725;Letovice
34735;Letovice zastávka
34745;Rozhraní
34755;Luhačovice
34765;Biskupice u Luhačovic
34772;Hanušovice Holba
34775;Polichno
34782;Rožnov p.R.
34785;Luka nad Jihlavou
34795;Malý Beranov
34802;Zubří
34804;Suchdol nad Odrou
34805;Bítovčice
34812;Ruda nad Moravou
34814;Hladké Životice místní nádraží
34815;Luleč
34822;Bartoňov
34824;Jeseník nad Odrou
34825;Lužice
34832;Rýmařov
34837;Městečko Trnávka
34842;Jamartice
34844;Mankovice
34847;Rozstání
34850;Znojmo nemocnice
34852;Velká Štáhle
34854;Štítina
34855;Mikulov na Moravě
34862;Senice na Hané
34864;Mokré Lazce
34865;Březí
34872;Odrlice
34874;Štramberk
34875;Miroslav
34882;Senice na Hané zastávka
34884;Ženklava
34885;Dolenice
34892;Sobotín
34894;Třemešná ve Slezsku
34902;Staré Město pod Sněžníkem
34904;Dívčí Hrad
34907;Mladějov na Moravě
34912;Střeň
34914;Liptaň
34917;Anenská Studánka
34922;Petrov n.Des.zast. z
34924;Třinec
34927;Kunčina
34932;Štěpánov
34934;Třinec-Konská (Trzyniec-Końska)
34937;Trpík
34942;Šternberk
34944;Třinec centrum
34945;Modřice
34952;Mladějovice
34955;Moravská Nová Ves
34962;Štarnov
34967;Moravská Třebová
34972;Šumperk
34975;Ostopovice
34976;Brno-Starý Lískovec
34977;Linhartice
34982;Vikýřovice z
34984;Veřovice
34985;Moravské Bránice
34992;Teplice nad Bečvou
34995;Ivančice letovisko
35004;Vítkov
35005;Moravské Budějovice
35012;Nová Hradečná
35014;Čermná ve Slezsku
35015;Dědice
35022;Troubelice zastávka
35024;Klokočov
35032;Babice u Šternberka
35034;Vratimov
35044;Ostrava-Vítkovice
35055;Jackov
35062;Třebčín
35065;Lhotice u Jemnice
35075;Rácovice
35085;Třebelovice
35095;Vesce
35105;Moravský Krumlov
35112;Uničov
35122;Újezd u Uničova
35125;Moravský Písek
35132;Uničov zastávka
35135;Moravský Písek zastávka
35142;Valašská Polanka
35145;Mutěnice
35152;Lužná u Vsetína
35155;Mutěnice zastávka
35162;Valašské Meziříčí
35172;Brňov
35175;Náměšť nad Oslavou
35182;Hrachovec
35185;Napajedla
35192;Krhová
35195;Spytihněv
35202;Lhotka nad Bečvou
35205;Nedakonice
35212;Zašová
35215;Nedvědice
35222;Valšov
35225;Doubravník
35232;Břidličná lesy
35235;Němčice nad Hanou
35242;Vápenná
35245;Nemotice
35255;Jestřabice
35265;Nesovice
35272;Karolinka zastávka
35275;Brankovice
35282;Velká Bystřice
35285;Nezamyslice
35292;Bystrovany
35295;Chvalkovice na Hané
35302;Velká Bystřice zastávka
35312;Velké Karlovice
35322;Karolinka
35332;Velké Karlovice zastávka
35342;Vrbátky
35352;Kraličky
35362;Vrbno pod Pradědem
35365;Nezdenice
35372;Karlovice
35375;Záhorovice
35382;Pocheň z
35385;N. Město na M.
35392;Skrbovice z
35395;Nové Město na Moravě zastávka
35402;Široká Niva
35405;Olešná na Moravě
35412;Vrbno p.Prad.zast. z
35415;Novosedly
35422;Karlovice zast. z
35425;Jevišovka
35435;Dobré Pole
35442;Vsetín
35445;Okříšky
35452;Hovězí
35455;Hvězdoňovice
35462;Janová
35465;Olbramkostel
35472;Leskovec
35475;Osíčko
35492;Ústí u Vsetína zastávka
35495;Uherský Ostroh
35502;Zábřeh na Moravě
35505;Ostrov nad Oslavou
35512;Postřelmov
35515;Zlín-Dlouhá
35522;Zlaté Hory
35525;Zlín-U mlýna
35532;Ondřejovice zastávka
35542;Zábřeh na Moravě zastávka
35555;Ostrožská Nová Ves
35565;Ostrožská Nová Ves lázně
35572;Žulová
35575;Otrokovice
35582;Tomíkovice
35585;Zlín-Malenovice zastávka
35605;Podivín
35615;Ladná
35625;Rakvice
35635;Otrokovice-Trávníky
35637;Pohled
35647;Stříbrné Hory
35685;Poštorná
35695;Charvátská Nová Ves
35705;Prostějov hl. n.
35712;Vrahovice
35725;Prostějov místní nádraží
35737;Přibyslav
35747;Přibyslav zastávka
35757;Ronov nad Sázavou
35765;Křemenec
35767;Nížkov
35775;Ptení
35785;Čunín
35795;Stražisko
35805;Rájec-Jestřebí
35815;Rajhrad
35825;Popovice u Rajhradu
35835;Rakšice
35845;Bohutice
35855;Rapotice
35865;Vysoké Popovice
35875;Rohatec
35885;Rohatec zastávka
35895;Rohatec kolonie
35905;Rousínov
35925;Rožná
35935;Věžná
35945;Řikonín
35956;Říkovice
35965;Sázava u Žďáru
35972;Vikýřovice-Lesní z
35975;Silůvky
35982;Vikýřovice u penz. z
35985;Skalice n. Svit.
35995;Doubravice nad Svitavou
36005;Svitávka
36015;Zboněk
36055;Sklené nad Oslavou
36065;Laštovičky
36075;Slavičín
36085;Hostětín
36105;Slavkov u Brna
36115;Křižanovice
36125;Sokolnice-Telnice
36135;Újezd u Brna
36145;St. Město u U.H.
36155;Kostelany nad Moravou
36165;Stařeč
36175;Bzenec přívoz
36185;Střelice
36186;Střelice dolní
36195;Vlčatín
36205;Radostice
36215;Troubsko
36225;Studenec
36235;Pozďatín
36245;Šakvice
36255;Popice
36265;Pouzdřany
36274;Znojmo-Nový Šaldorf
36275;Šatov
36327;Šlapanov
36335;Kojatín
36345;Šlapanice
36355;Ponětovice
36365;Šumná
36374;Tetčice
36385;Omice
36395;Tišnov
36405;Borač
36415;Čebín
36425;Dolní Loučky
36435;Hradčany
36455;Prudká zastávka
36465;Štěpánovice
36475;Tlumačov
36485;Záhlinice
36496;Tovačov
36506;Oplocany
36535;Vladislav zastávka
36545;Poteč
36555;Třebíč
36565;Třebíč - Borovina
36575;Uherské Hradiště
36585;Uherský Brod
36595;Havřice
36615;Újezdec u Luhačovic
36625;Šumice
36635;Valašské Klobouky
36645;Valašské Příkazy
36655;Valtice
36665;Sedlec u Mikulova
